Car_Type,Car_Year,Fuel_Type,Transmission,Price
Toyota Fielder,2013 -,Petrol -,Automatic,"KSh1,350,000"
Jaguar X-Type,2003 -,Petrol -,Automatic,"KSh1,350,000"
Lexus RX 300,2005 -,Petrol -,Automatic,"KSh1,350,000"
Toyota RAV4,2006 -,Petrol -,Automatic,"KSh1,350,000"
Mercedes-Benz B180,2011 -,Petrol -,Automatic,"KSh1,350,000"
Mercedes-Benz B-Class,2011 -,Petrol -,Automatic,"KSh1,350,000"
Mercedes-Benz B180,2011 -,Petrol -,Automatic,"KSh1,350,000"
Volkswagen Touran 1.4 TSI,2013 -,Petrol -,Automatic,"KSh1,350,000"
Toyota Corolla 1.5 Automatic,2013 -,Petrol -,Automatic,"KSh1,350,000"
Toyota Wish,2011 -,Petrol -,Automatic,"KSh1,370,000"
Nissan juke,2011 -,Petrol -,Automatic,"KSh1,375,000"
Nissan juke,2011 -,Petrol -,Automatic,"KSh1,375,000"
Mercedes-Benz B180,2011 -,Petrol -,Automatic,"KSh1,375,000"
Nissan juke,2012 -,Petrol -,Automatic,"KSh1,375,000"
Toyota Allion 1.8,2011 -,Petrol -,Automatic,"KSh1,380,000"
Subaru Legacy,2011 -,Petrol -,Automatic,"KSh1,380,000"
Subaru Legacy,2011 -,Petrol -,Automatic,"KSh1,380,000"
Toyota Fielder,2012 -,Petrol -,Automatic,"KSh1,380,000"
Toyota Allion 1.8,2011 -,Petrol -,Automatic,"KSh1,380,000"
Toyota Allion A15,2011 -,Petrol -,Automatic,"KSh1,390,000"
Toyota Wish,2011 -,Petrol -,Automatic,"KSh1,399,000"
Toyota Wish,2011 -,Petrol -,Automatic,"KSh1,399,000"
Toyota Wish,2010 -,Petrol -,Automatic,"KSh1,400,000"
Nissan juke 1.5 dCi,2011 -,Petrol -,Automatic,"KSh1,400,000"
Toyota Allion 1.8,2011 -,Petrol -,Automatic,"KSh1,400,000"
Citroen C4,2011 -,Petrol -,Automatic,"KSh1,400,000"
Toyota Allion 1.8,2011 -,Petrol -,Automatic,"KSh1,400,000"
Toyota Wish,2011 -,Petrol -,Automatic,"KSh1,400,000"
Nissan juke 1.5 dCi,2011 -,Petrol -,Automatic,"KSh1,400,000"
Nissan juke 1.5 dCi,2011 -,Petrol -,Automatic,"KSh1,400,000"
